Id,SalePrice
1461,148600.281250
1462,147031.250000
1463,188310.421875
1464,181533.937500
1465,192056.843750
1466,183314.390625
1467,163767.781250
1468,168136.890625
1469,175846.937500
1470,128652.023438
1471,208923.593750
1472,108243.968750
1473,118790.156250
1474,165941.421875
1475,123466.906250
1476,389863.468750
1477,267546.531250
1478,317762.187500
1479,278859.843750
1480,424448.187500
1481,297265.406250
1482,198569.390625
1483,162262.734375
1484,170480.265625
1485,174338.500000
1486,217663.937500
1487,300305.812500
1488,227400.687500
1489,220327.109375
1490,192652.875000
1491,187819.203125
1492,105075.468750
1493,174528.390625
1494,300720.968750
1495,275244.062500
1496,200262.390625
1497,187462.718750
1498,168773.500000
1499,162893.578125
1500,160120.796875
1501,187268.328125
1502,141610.937500
1503,298066.000000
1504,269699.531250
1505,240246.078125
1506,182049.156250
1507,211146.906250
1508,195971.421875
1509,176810.531250
1510,158327.390625
1511,129150.304688
1512,162187.218750
1513,164710.921875
1514,153926.343750
1515,194219.296875
1516,171587.078125
1517,155451.812500
1518,116252.078125
1519,208398.109375
1520,137687.015625
1521,138384.531250
1522,176976.015625
1523,103794.445312
1524,123334.093750
1525,133846.156250
1526,114506.007812
1527,96809.148438
1528,130064.757812
1529,150156.984375
1530,168373.734375
1531,137511.093750
1532,100525.585938
1533,146222.531250
1534,96360.906250
1535,154925.562500
1536,132820.281250
1537,81124.640625
1538,181762.265625
1539,224031.515625
1540,81509.125000
1541,145401.875000
1542,126038.929688
1543,230718.812500
1544,87327.398438
1545,121777.140625
1546,132334.859375
1547,141272.578125
1548,136227.921875
1549,137459.046875
1550,134534.312500
1551,114340.078125
1552,142240.281250
1553,128349.546875
1554,96982.335938
1555,154382.500000
1556,83025.492188
1557,104185.726562
1558,130348.789062
1559,112066.210938
1560,171948.234375
1561,131874.750000
1562,120681.867188
1563,118326.929688
1564,127084.273438
1565,146628.312500
1566,241607.578125
1567,83298.125000
1568,224509.687500
1569,152032.093750
1570,140182.468750
1571,130346.593750
1572,147884.640625
1573,211689.281250
1574,104409.867188
1575,209115.750000
1576,235467.937500
1577,201169.015625
1578,164695.843750
1579,137520.015625
1580,191090.578125
1581,128665.867188
1582,119082.179688
1583,314805.937500
1584,221883.281250
1585,142124.968750
1586,94435.125000
1587,114774.750000
1588,141700.765625
1589,99542.843750
1590,144525.703125
1591,87587.914062
1592,132478.250000
1593,128078.742188
1594,173300.812500
1595,111417.351562
1596,274836.812500
1597,178957.015625
1598,188531.453125
1599,203891.000000
1600,171374.734375
1601,68106.976562
1602,133018.531250
1603,89170.304688
1604,258095.546875
1605,255457.359375
1606,151263.140625
1607,156454.218750
1608,201856.015625
1609,208590.859375
1610,163539.437500
1611,151127.578125
1612,144779.312500
1613,152560.781250
1614,129588.507812
1615,85548.218750
1616,68010.539062
1617,86221.437500
1618,130113.531250
1619,131067.429688
1620,117792.140625
1621,143037.609375
1622,137887.984375
1623,230915.468750
1624,185297.812500
1625,135819.656250
1626,186712.656250
1627,197451.859375
1628,276220.500000
1629,192717.281250
1630,326146.875000
1631,249001.890625
1632,252509.984375
1633,176148.562500
1634,183305.281250
1635,181771.593750
1636,126008.835938
1637,198558.203125
1638,206955.031250
1639,204311.250000
1640,254477.359375
1641,174311.796875
1642,199780.875000
1643,231056.171875
1644,236680.703125
1645,168497.187500
1646,161482.484375
1647,149311.343750
1648,123694.328125
1649,142284.109375
1650,129641.507812
1651,130454.023438
1652,93990.859375
1653,96553.648438
1654,146593.187500
1655,135321.156250
1656,153711.093750
1657,153740.921875
1658,142876.046875
1659,127366.656250
1660,151522.718750
1661,439768.593750
1662,449951.531250
1663,372504.812500
1664,501021.375000
